ID,titulo_noticia,medio,palabra,puntuacion
id_137,"El cóndor andino y otras 500 especies de aves se extinguirán en los próximos 100 años, según estudio",bbcl,mayor,3
id_137,"El cóndor andino y otras 500 especies de aves se extinguirán en los próximos 100 años, según estudio",bbcl,mayor,3
id_137,"El cóndor andino y otras 500 especies de aves se extinguirán en los próximos 100 años, según estudio",bbcl,riesgo,-2
id_138,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",bbcl,gloria,2
id_138,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",bbcl,tipo,2
id_138,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",bbcl,intereses,1
id_138,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",bbcl,importancia,2
id_138,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",bbcl,fortalecer,2
id_139,¿Quién es Lauren Sánchez? La futura esposa del magnate estadounidense Jeff Bezos,bbcl,disfruta,2
id_141,Científicos de Escocia crean paracetamol a partir de residuos plásticos: usaron bacterias modificadas,bbcl,residuos,-1
id_142,Cuándo es el cambio de hora: la fecha de retorno al horario de verano y a los días más largos,bbcl,ajuste,1
id_143,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,bbcl,atraer,1
id_143,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,bbcl,riqueza,3
id_143,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,bbcl,amor,3
id_143,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,bbcl,popular,3
id_143,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,bbcl,fuerte,2
id_143,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,bbcl,tesoros,2
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,alerta,-1
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,advierte,-2
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,mayor,3
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,mayor,3
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,evitar,-1
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,evitar,-1
id_144,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,bbcl,evitar,-1
id_145,USS se integra al Comité Oceanográfico Nacional: aportará con investigación en Ciencias del Mar,bbcl,importancia,2
id_146,Así será el invierno 2025 en Chile: adelantan condiciones extremas por el cambio climático,bbcl,espera,-1
id_146,Así será el invierno 2025 en Chile: adelantan condiciones extremas por el cambio climático,bbcl,capacidad,2
id_146,Así será el invierno 2025 en Chile: adelantan condiciones extremas por el cambio climático,bbcl,riesgo,-2
id_147,"Un nuevo proyecto eólico en Chiloé amenaza al río Huicha, un bosque nativo y una estación biológica",bbcl,amenazas,-2
id_147,"Un nuevo proyecto eólico en Chiloé amenaza al río Huicha, un bosque nativo y una estación biológica",bbcl,riesgo,-2
id_148,Arquitecturas efímeras del sur del mundo: Lecciones éticas y culturales desde la Tierra del Fuego,bbcl,fuego,-2
id_149,¿Por qué Marte perdió toda su agua? Científicos creen que un fenómeno natural pudo haberlo provocado,bbcl,tiempo,-2
id_150,Investigadora chilena liderará evaluación global de soluciones públicas medioambientales,bbcl,autores,-2
id_150,Investigadora chilena liderará evaluación global de soluciones públicas medioambientales,bbcl,importancia,2
id_151,Perú firmó el Tratado de Alta Mar: la polémica sobre las 200 millas y la postura de Chile,bbcl,asegura,2
id_151,Perú firmó el Tratado de Alta Mar: la polémica sobre las 200 millas y la postura de Chile,bbcl,compromiso,2
id_151,Perú firmó el Tratado de Alta Mar: la polémica sobre las 200 millas y la postura de Chile,bbcl,importancia,2
id_151,Perú firmó el Tratado de Alta Mar: la polémica sobre las 200 millas y la postura de Chile,bbcl,acuerdo,1
id_152,"Baguales, la cordillera olvidada frente a Torres del Paine",bbcl,tesoro,2
id_152,"Baguales, la cordillera olvidada frente a Torres del Paine",bbcl,importante,2
id_153,SLEP Valparaíso: funcionario trabajó simultáneamente en el servicio y en el municipio de La Calera,bbcl,fortalecer,2
id_154,"La ONU advierte que la temperatura promedio de la Tierra podría superar el límite de 1,5° C al 2029",bbcl,acuerdo,1
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,gracias,2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,gracias,2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,tiempo,-2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,asegura,2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,tragedia,-2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,apoyo,2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,apoyo,2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,apoyo,2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,desastres,-2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,amenaza,-2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,amenaza,-2
id_155,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",bbcl,amenaza,-2
id_157,"Experto explica por qué el chinche del arce regresó en pleno otoño: ""Debería iniciar su hibernación""",bbcl,peligro,-2
id_157,"Experto explica por qué el chinche del arce regresó en pleno otoño: ""Debería iniciar su hibernación""",bbcl,peligro,-2
id_157,"Experto explica por qué el chinche del arce regresó en pleno otoño: ""Debería iniciar su hibernación""",bbcl,peligro,-2
id_158,Chile logra doble hito en Antártica: primera base científica permanente y con jefa en invierno,bbcl,importancia,2
id_159,"Qué es Sernafor, el nuevo organismo que reemplazará a Conaf con novedades en combate de incendios",bbcl,autoridad,1
id_159,"Qué es Sernafor, el nuevo organismo que reemplazará a Conaf con novedades en combate de incendios",bbcl,emergencia,-2
id_160,Causa y Efecto: ¿Estamos preparados para tornados? el caso de Puerto Varas abre una alerta nacional,bbcl,importancia,2
id_160,Causa y Efecto: ¿Estamos preparados para tornados? el caso de Puerto Varas abre una alerta nacional,bbcl,calor,2
id_161,¿Podría producirse un tornado en Santiago? Qué dicen los expertos y la historia,bbcl,choques,-2
id_164,Presidente Gabriel Boric viajará a Puerto Varas tras estragos generados por tornado,bbcl,emergencia,-2
id_167,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,bbcl,promover,1
id_167,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,bbcl,mejorar,2
id_167,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,bbcl,crecimiento,2
id_167,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,bbcl,mejorar,2
id_167,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,bbcl,crecimiento,2
id_167,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,bbcl,importancia,2
id_168,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,bbcl,ilegal,-3
id_168,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,bbcl,gracias,2
id_168,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,bbcl,gracias,2
